Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        1    0.000    0.000    0.000    0.000 discourse.py:164(DiscourseTester)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        1    0.000    0.000    0.001    0.001 resolution.py:11(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2586(MaskedArray)
      248    0.000    0.000    0.000    0.000 os.py:690(check_str)
      256    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.124    0.124 compat.py:9(<module>)
        2    0.000    0.000    0.043    0.021 util.py:7(<module>)
        1    0.000    0.000    0.011    0.011 data.py:32(<module>)
      108    0.000    0.000    0.000    0.000 __init__.py:366(<genexpr>)
        1    0.000    0.000    0.009    0.009 __init__.py:38(<module>)
      108    0.000    0.000    0.000    0.000 __init__.py:364(<genexpr>)
       32    0.000    0.000    0.000    0.000 enum.py:282(__setattr__)
        1    0.000    0.000    0.007    0.007 quoprimime.py:27(<module>)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2240(_gcd_import)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
      205    0.000    0.000    0.000    0.000 ntpath.py:71(_get_special)
        2    0.000    0.000    0.002    0.001 api.py:11(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:73(<dictcomp>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        3    0.000    0.000    0.000    0.000 api.py:185(<listcomp>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1726(is_package)
        3    0.000    0.000    0.151    0.050 __init__.py:12(<module>)
       49    0.000    0.000    0.001    0.000 os.py:636(__setitem__)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.001    0.001 prover9.py:11(<module>)
       63    0.000    0.000    0.000    0.000 {built-in method repr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:117(<listcomp>)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
       18    0.000    0.000    0.000    0.000 core.py:913(__init__)
        1    0.000    0.000    0.000    0.000 pydoc.py:1639(Helper)
      201    0.000    0.000    0.000    0.000 api.py:201(encoding)
      123    0.000    0.000    0.000    0.000 {built-in method hash}
       31    0.000    0.000    0.001    0.000 grammar.py:1217(<listcomp>)
      101    0.000    0.000    0.000    0.000 opcode.py:41(def_op)
        1    0.000    0.000    0.074    0.074 client.py:67(<module>)
       32    0.000    0.000    0.000    0.000 enum.py:51(__setitem__)
       23    0.000    0.000    0.001    0.000 core.py:6068(getdoc)
        1    0.000    0.000    0.002    0.002 logic.py:12(<module>)
        2    0.000    0.000    0.003    0.002 util.py:9(<module>)
        1    0.000    0.000    0.022    0.022 downloader.py:68(<module>)
        1    0.000    0.000    0.005    0.005 zipfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.038    0.038 utils.py:5(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:88(<module>)
        1    0.000    0.000    0.001    0.001 probability.py:39(<module>)
        1    0.000    0.000    0.011    0.011 grammar.py:70(<module>)
       40    0.000    0.000    0.000    0.000 grammar.py:256(__init__)
        7    0.000    0.000    0.001    0.000 _collections_abc.py:575(update)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       65    0.000    0.000    0.000    0.000 lexicon.py:103(nextCategory)
       65    0.000    0.000    0.000    0.000 util.py:305(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
      260    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
